t,x,y,yaw,v,w,cmd_v,cmd_w
1780837945.222352982,1.976688093,-0.292591820,-0.150314787,1.073129713,0.070010877,1.073129713,0.070010877
1780837945.241585255,1.997942130,-0.295810570,-0.148914570,1.073129713,0.070010877,1.073129713,0.070010877
1780837945.261717558,2.019188124,-0.298912884,-0.147514352,1.073129713,0.070010877,1.073129713,0.070010877
1780837945.281564236,2.040435619,-0.302096517,-0.146114135,1.073129713,0.070010877,1.073129713,0.070010877
1780837945.301588774,2.061617217,-0.305168465,-0.144713917,1.073129713,0.070010877,1.073129713,0.070010877
1780837945.321514130,2.085763222,-0.308700293,-0.143813678,1.218843975,0.045011960,1.218843975,0.045011960
1780837945.341565847,2.109792078,-0.312183969,-0.142913439,1.218843975,0.045011960,1.218843975,0.045011960
1780837945.361607790,2.133924298,-0.315644819,-0.142013199,1.218843975,0.045011960,1.218843975,0.045011960
1780837945.381597281,2.158064766,-0.319183025,-0.141112960,1.218843975,0.045011960,1.218843975,0.045011960
1780837945.401535034,2.182273452,-0.322628406,-0.140212721,1.218843975,0.045011960,1.218843975,0.045011960
1780837945.421528578,2.203716618,-0.325588085,-0.139621667,1.080985493,0.029552710,1.080985493,0.029552710
1780837945.441456795,2.225152044,-0.328691550,-0.139030613,1.080985493,0.029552710,1.080985493,0.029552710
1780837945.461528778,2.246606377,-0.331738961,-0.138439558,1.080985493,0.029552710,1.080985493,0.029552710
1780837945.481642485,2.267963700,-0.334723796,-0.137848504,1.080985493,0.029552710,1.080985493,0.029552710
1780837945.501534462,2.289317948,-0.337666282,-0.137257450,1.080985493,0.029552710,1.080985493,0.029552710
1780837945.521580458,2.315019157,-0.341253448,-0.138387590,1.295427413,-0.056507003,1.295427413,-0.056507003
1780837945.541753292,2.340635036,-0.344897399,-0.139517730,1.295427413,-0.056507003,1.295427413,-0.056507003
1780837945.561779022,2.366246097,-0.348593240,-0.140647870,1.295427413,-0.056507003,1.295427413,-0.056507003
1780837945.581629038,2.391979700,-0.352206855,-0.141778010,1.295427413,-0.056507003,1.295427413,-0.056507003
1780837945.601478577,2.417614373,-0.355793984,-0.142908150,1.295427413,-0.056507003,1.295427413,-0.056507003
1780837945.621658802,2.440316593,-0.359108833,-0.143941751,1.151781628,-0.051680019,1.151781628,-0.051680019
1780837945.641470194,2.463084664,-0.362466895,-0.144975351,1.151781628,-0.051680019,1.151781628,-0.051680019
1780837945.661565065,2.485937600,-0.365732899,-0.146008951,1.151781628,-0.051680019,1.151781628,-0.051680019
1780837945.681517124,2.508805723,-0.369034241,-0.147042552,1.151781628,-0.051680019,1.151781628,-0.051680019
1780837945.701513052,2.531663500,-0.372320607,-0.148076152,1.151781628,-0.051680019,1.151781628,-0.051680019
